IP,MAC,Status,Miner Type,Miner Model,Miner Brand,Logical Zone,Customer,Real-time Power,Real-time Power Unit,ControlBoard Sn,hashBoard SN,PSU SN,Real-time Hashrate,AVG Hashrate,Theoretical Hashrate,Hashrate unit,Factory Hashrate,Hashrate unit,HashBoard Status,HashBoard Hashrate,HashBoard Hashrate1,HashBoard Hashrate2,HashBoard Hashrate3,HashBoard Hashrate4,HashBoard Frequency,Chip Status,Temperature,Fan Speed,Work Mode,PowerType,Firmware Version,Pool 1,Pool 1 Status,Sub-account 1,Pool 2,Pool 2 Status,Sub-account 2,Pool 3,Pool 3 Status,Sub-account 1,Uptime (Second),Last Update,Remarks,Original Type
10.17.9.21,50:d4:48:4b:71:59,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3692,W,S127200251901535,"[""S124600251914703"",""S124600251915427"",""S124600251914122""]",1Z250101222,222.98,222.84,228.86,T,222.0,T,"[3,3]","[72.75(1),73.95(2),76.29(3)]",72.75,73.95,76.29,,"[352,356,365]","[459,459]","[65,67,70]","[4264,4264,4234,4234]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x128,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x128,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x128,28098,2025-08-20 09:08:00,,A2
10.17.9.22,50:d4:48:4b:70:e7,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3756,W,S127200251905110,"[""S124600251904764"",""S124600251904313"",""S124600251904785""]",1Z251701051,227.13,227.27,233.08,T,222.0,T,"[3,3]","[74.29(1),77.87(2),74.99(3)]",74.29,77.87,74.99,,"[359,373,361]","[459,459]","[68,70,68]","[3990,3990,3990,3990]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x130,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x130,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x130,28099,2025-08-20 09:08:00,,A2
10.17.9.23,50:d4:48:4b:71:85,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3672,W,S127200251902946,"[""S124600251902798"",""S124600251902800"",""S124600251902171""]",1Z250100058,224.76,224.64,229.61,T,222.0,T,"[3,3]","[74.34(1),76.81(2),73.61(3)]",74.34,76.81,73.61,,"[357,367,352]","[459,459]","[68,71,67]","[3993,3963,3963,3963]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x131,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x131,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x131,28105,2025-08-20 09:08:00,,A2
10.17.9.24,50:d4:48:4b:73:d4,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3796,W,S127200251902680,"[""S124600251904877"",""S124600251904873"",""S124600251904131""]",1Z251701158,228.18,228.69,234.87,T,222.0,T,"[3,3]","[75.86(1),79.2(2),73.14(3)]",75.86,79.2,73.14,,"[365,381,355]","[459,459]","[67,70,64]","[4370,4370,4370,4340]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x132,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x132,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x132,28101,2025-08-20 09:08:00,,A2
10.17.9.25,50:d4:48:4b:78:16,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3764,W,S127200251905146,"[""S124600251910558"",""S124600251909520"",""S124600251910104""]",1Z250100401,228.28,227.96,233.9,T,222.0,T,"[3,3]","[76.7(1),73.83(2),77.77(3)]",76.7,73.83,77.77,,"[368,356,372]","[459,459]","[68,68,70]","[4080,4110,4140,4110]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x139,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x139,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x139,28097,2025-08-20 09:08:00,,A2
10.17.9.26,50:d4:48:4b:76:1c,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3724,W,S127200251901305,"[""S124600251910342"",""S124600251909610"",""S124600251910636""]",1Z250101501,226.72,226.51,232.01,T,222.0,T,"[3,3]","[78.15(1),74.8(2),73.78(3)]",78.15,74.8,73.78,,"[374,360,354]","[459,459]","[70,69,68]","[4050,4020,4050,4050]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x140,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x140,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x140,28093,2025-08-20 09:08:00,,A2
10.17.9.27,50:d4:48:4b:73:f1,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3804,W,S127200251905079,"[""S124600251904987"",""S124600251904991"",""S124600251905032""]",1Z251701872,228.71,228.26,233.79,T,222.0,T,"[3,3]","[74.42(1),79.55(2),74.77(3)]",74.42,79.55,74.77,,"[357,380,359]","[459,459]","[64,71,70]","[4350,4350,4354,4320]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x138,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x138,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x138,28092,2025-08-20 09:08:00,,A2
10.17.9.28,50:d4:48:4b:72:cb,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3784,W,S127200251901412,"[""S124600251909913"",""S124600251910156"",""S124600251909929""]",1Z251700680,228.77,228.66,234.61,T,222.0,T,"[3,3]","[80.15(1),72.28(2),76.35(3)]",80.15,72.28,76.35,,"[386,349,365]","[459,459]","[69,64,71]","[4444,4440,4440,4440]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x137,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x137,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x137,28092,2025-08-20 09:08:00,,A2
10.17.9.29,50:d4:48:4b:72:41,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3732,W,S127200251902343,"[""S124600251905410"",""S124600251905403"",""S124600251905302""]",1Z251701334,225.88,225.74,231.34,T,222.0,T,"[3,3]","[74.06(1),74.53(2),77.3(3)]",74.06,74.53,77.3,,"[357,357,370]","[459,459]","[66,66,70]","[4204,4204,4204,4234]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x136,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x136,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x136,28086,2025-08-20 09:08:00,,A2
10.17.9.30,50:d4:48:4b:74:f4,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3796,W,S127200251901840,"[""S124600251904908"",""S124600251904907"",""S124600251903985""]",1Z251700221,230.26,229.43,234.25,T,222.0,T,"[3,3]","[77.34(1),77.65(2),75.28(3)]",77.34,77.65,75.28,,"[368,370,360]","[459,459]","[68,70,67]","[4350,4350,4320,4324]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x135,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x135,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x135,28090,2025-08-20 09:08:00,,A2
10.17.9.31,50:d4:48:4b:77:ae,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3672,W,S127200251902502,"[""S124600251913909"",""S124600251915624"",""S124600251914307""]",1Z250101395,223.34,223.02,228.42,T,222.0,T,"[3,3]","[76.91(1),76.81(2),69.68(3)]",76.91,76.81,69.68,,"[367,366,337]","[459,459]","[69,70,67]","[3900,3870,3900,3900]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x134,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x134,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x134,28087,2025-08-20 09:08:00,,A2
10.17.9.32,50:d4:48:4b:74:b8,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3748,W,S127200251905121,"[""S124600252003836"",""S124600252003777"",""S124600252004013""]",1Z251701227,228.18,227.78,232.58,T,222.0,T,"[3,3]","[76.89(1),76.76(2),74.54(3)]",76.89,76.76,74.54,,"[366,367,358]","[459,459]","[68,70,69]","[3963,3960,3963,3960]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x133,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x133,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x133,28084,2025-08-20 09:08:00,,A2
10.17.9.33,50:d4:48:4b:73:2f,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3652,W,S127200251903980,"[""S124600251909130"",""S124600251908736"",""S124600251909101""]",1Z250101178,223.7,224.36,228.78,T,222.0,T,"[3,3]","[75.0(1),74.94(2),73.75(3)]",75.0,74.94,73.75,,"[361,359,353]","[459,459]","[68,68,70]","[4320,4354,4350,4350]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x141,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x141,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x141,28052,2025-08-20 09:08:00,,A2
10.17.9.34,50:d4:48:4b:78:30,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3752,W,S127200251904578,"[""S124600251915104"",""S124600251914273"",""S124600251915074""]",1Z250102008,225.78,224.76,230.69,T,222.0,T,"[3,3]","[73.52(1),73.23(2),79.06(3)]",73.52,73.23,79.06,,"[354,352,376]","[459,459]","[60,63,70]","[5250,5250,5220,5280]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x142,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x142,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x142,28054,2025-08-20 09:08:00,,A2
10.17.9.35,50:d4:48:4b:77:4d,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3864,W,S127200251902041,"[""S124600251914889"",""S124600251914858"",""S124600251914884""]",1Z251700172,231.28,230.72,235.56,T,222.0,T,"[3,3]","[77.3(1),76.23(2),77.73(3)]",77.3,76.23,77.73,,"[368,364,373]","[459,459]","[62,64,70]","[4890,4890,4890,4890]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x143,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x143,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x143,28042,2025-08-20 09:08:00,,A2
10.17.9.36,50:d4:48:4b:72:3f,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3692,W,S127200251902675,"[""S124600251909407"",""S124600251908921"",""S124600251909238""]",1Z251701264,220.84,220.22,226.68,T,222.0,T,"[3,3]","[70.82(1),73.7(2),76.35(3)]",70.82,73.7,76.35,,"[343,355,365]","[459,459]","[59,65,70]","[4560,4560,4590,4590]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x144,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x144,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x144,28032,2025-08-20 09:08:00,,A2
10.17.9.37,50:d4:48:4b:76:dc,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3808,W,S127200251902486,"[""S124600251903237"",""S124600251903255"",""S124600251903395""]",1Z251701533,228.04,227.9,233.52,T,222.0,T,"[3,3]","[75.92(1),75.62(2),76.5(3)]",75.92,75.62,76.5,,"[366,364,365]","[459,459]","[68,69,70]","[4324,4324,4294,4324]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x145,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x145,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x145,28028,2025-08-20 09:08:00,,A2
10.17.9.38,50:d4:48:4b:69:7a,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3832,W,S127200251900142,"[""S124600251904685"",""S124600251903605"",""S124600251903617""]",1Z251701822,230.3,229.69,234.77,T,222.0,T,"[3,3]","[75.48(1),78.44(2),76.39(3)]",75.48,78.44,76.39,,"[361,374,365]","[459,459]","[68,71,69]","[4020,4054,4024,4054]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x146,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x146,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x146,28040,2025-08-20 09:08:00,,A2
10.17.9.39,50:d4:48:4b:78:c3,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3876,W,S127200251904316,"[""S124600251908845"",""S124600251909140"",""S124600251909298""]",1Z251701635,233.86,233.41,238.47,T,222.0,T,"[3,3]","[81.18(1),77.25(2),75.44(3)]",81.18,77.25,75.44,,"[387,369,362]","[459,459]","[70,70,69]","[4110,4110,4110,4084]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x147,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x147,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x147,28032,2025-08-20 09:08:00,,A2
10.17.9.40,50:d4:48:4b:68:a0,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3668,W,S127200251900713,"[""S124600251903620"",""S124600251903593"",""S124600251903618""]",1Z251701216,222.29,221.95,227.38,T,222.0,T,"[3,3]","[75.3(1),73.7(2),73.29(3)]",75.3,73.7,73.29,,"[360,353,353]","[459,459]","[71,69,68]","[4020,4050,4020,4050]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x148,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x148,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x148,28033,2025-08-20 09:08:00,,A2
10.17.9.41,50:d4:48:4b:76:9d,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3776,W,S127200251900945,"[""S124600251915037"",""S124600251914890"",""S124600251911867""]",1Z251700971,228.27,227.92,230.79,T,222.0,T,"[3,3]","[71.72(1),79.63(2),76.95(3)]",71.72,79.63,76.95,,"[341,376,365]","[459,459]","[63,69,70]","[4350,4380,4350,4350]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x149,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x149,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x149,28030,2025-08-20 09:08:00,,A2
10.17.9.42,50:d4:48:4b:73:2a,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3700,W,S127200251905074,"[""S124600251908586"",""S124600251908821"",""S124600251908811""]",1Z251702536,221.73,221.86,228.15,T,222.0,T,"[3,3]","[72.39(1),75.99(2),73.36(3)]",72.39,75.99,73.36,,"[351,366,353]","[459,459]","[63,69,70]","[4320,4350,4350,4320]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x150,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x150,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x150,28032,2025-08-20 09:08:00,,A2
10.17.9.43,50:d4:48:4b:74:ef,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3744,W,S127200251902163,"[""S124600251904904"",""S124600251903907"",""S124600251903965""]",1Z251700241,228.44,227.8,233.0,T,222.0,T,"[3,3]","[78.66(1),74.64(2),75.15(3)]",78.66,74.64,75.15,,"[375,357,360]","[459,459]","[70,70,70]","[3963,3963,3933,3963]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x151,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x151,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x151,28037,2025-08-20 09:08:00,,A2
10.17.9.44,50:d4:48:4b:76:ea,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3620,W,S127200251900742,"[""S124600251902680"",""S124600251902703"",""S124600251902241""]",1Z250100477,222.85,223.13,228.54,T,222.0,T,"[3,3]","[76.12(1),74.29(2),72.44(3)]",76.12,74.29,72.44,,"[366,356,349]","[459,459]","[70,69,68]","[3903,3900,3900,3870]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x152,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x152,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x152,28040,2025-08-20 09:08:00,,A2
10.17.9.45,50:d4:48:4b:6b:f0,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3820,W,S127200251903291,"[""S124600251903611"",""S124600251903608"",""S124600251903610""]",1Z251701794,231.45,230.89,236.12,T,222.0,T,"[3,3]","[74.74(1),77.68(2),79.05(3)]",74.74,77.68,79.05,,"[360,371,376]","[459,459]","[67,69,70]","[4110,4110,4114,4110]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x153,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x153,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x153,28037,2025-08-20 09:08:00,,A2
10.17.9.46,50:d4:48:4b:78:59,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3696,W,S127200251905166,"[""S124600251903856"",""S124600251903859"",""S124600251903827""]",1Z250100942,223.3,223.07,229.3,T,222.0,T,"[3,3]","[75.68(1),76.29(2),71.34(3)]",75.68,76.29,71.34,,"[364,366,345]","[459,459]","[69,70,68]","[4024,4054,4024,4054]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x154,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x154,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x154,28032,2025-08-20 09:08:00,,A2
10.17.9.47,50:d4:48:4b:78:3f,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3680,W,S127200251904003,"[""S124600251903860"",""S124600251904293"",""S124600251903819""]",1Z250101010,222.56,222.22,227.89,T,222.0,T,"[3,3]","[75.24(1),76.2(2),71.15(3)]",75.24,76.2,71.15,,"[360,365,344]","[459,459]","[70,68,64]","[4260,4260,4230,4230]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x155,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x155,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x155,28036,2025-08-20 09:08:00,,A2
10.17.9.48,50:d4:48:4b:76:ba,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3812,W,S127200251905214,"[""S124600251915453"",""S124600251915441"",""S124600251915438""]",1Z251700100,231.45,230.77,236.22,T,222.0,T,"[3,3]","[78.32(1),76.65(2),76.48(3)]",78.32,76.65,76.48,,"[375,367,365]","[459,459]","[70,69,69]","[4200,4200,4200,4200]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x9x156,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x9x156,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x9x156,28037,2025-08-20 09:08:00,,A2
10.17.10.1,50:d4:48:4b:68:f1,Online,A2,A2-230T,SealMiner,Sigma,Bitdeer-Seal,4076,W,S127200251903387,"[""S124600251901923"",""S124600251901853"",""S124600251901973""]",1Z250101506,241.61,239.57,246.14,T,230.0,T,"[3,3]","[78.83(1),79.54(2),83.26(3)]",78.83,79.54,83.26,,"[378,380,396]","[459,459]","[63,66,70]","[5405,5400,5405,5405]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x1,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x1,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x1,28049,2025-08-20 09:08:02,,A2
10.17.10.2,50:d4:48:4b:73:df,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3720,W,S127200251900650,"[""S124600251904568"",""S124600251904895"",""S124600251903933""]",1Z251701554,224.64,224.41,230.11,T,222.0,T,"[3,3]","[74.34(1),73.9(2),76.41(3)]",74.34,73.9,76.41,,"[357,355,367]","[459,459]","[64,65,70]","[4654,4654,4650,4654]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x2,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x2,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x2,28051,2025-08-20 09:08:02,,A2
10.17.10.3,50:d4:48:4b:70:5b,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3708,W,S127200251904053,"[""S124600251915229"",""S124600251915233"",""S124600251915276""]",1Z251701375,225.82,225.59,231.33,T,222.0,T,"[3,3]","[74.81(1),77.88(2),73.15(3)]",74.81,77.88,73.15,,"[361,372,352]","[459,459]","[67,70,68]","[4350,4354,4350,4380]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x3,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x3,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x3,28054,2025-08-20 09:08:02,,A2
10.17.10.4,50:d4:48:4b:72:56,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3680,W,S127200251903666,"[""S124600251908930"",""S124600251908986"",""S124600251908765""]",1Z251702018,223.71,223.43,228.07,T,222.0,T,"[3,3]","[75.48(1),73.88(2),74.36(3)]",75.48,73.88,74.36,,"[360,353,356]","[459,459]","[69,70,70]","[3813,3843,3813,3813]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x4,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x4,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x4,28048,2025-08-20 09:08:02,,A2
10.17.10.5,50:d4:48:4b:65:42,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3836,W,S127200251902606,"[""S124600251914993"",""S124600251914852"",""S124600251914947""]",1Z251701945,229.85,229.45,235.03,T,222.0,T,"[3,3]","[74.29(1),80.61(2),74.98(3)]",74.29,80.61,74.98,,"[357,385,361]","[459,459]","[65,71,67]","[4350,4350,4350,4380]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x5,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x5,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x5,28032,2025-08-20 09:08:02,,A2
10.17.10.6,50:d4:48:4b:77:d2,Online,A2,A2-222T,SealMiner,Sigma,Bitdeer-Seal,3788,W,S127200251901024,"[""S124600251903023"",""S124600251902815"",""S124600251902788""]",1Z250101617,229.76,229.74,235.12,T,222.0,T,"[3,3]","[74.08(1),78.4(2),77.29(3)]",74.08,78.4,77.29,,"[356,375,371]","[459,459]","[62,67,70]","[4954,4954,4954,4920]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x10x6,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x10x6,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x10x6,28025,2025-08-20 09:08:02,,A2
