IP,MAC,Status,Miner Type,Miner Model,Miner Brand,Logical Zone,Customer,Real-time Power,Real-time Power Unit,ControlBoard Sn,hashBoard SN,PSU SN,Real-time Hashrate,AVG Hashrate,Theoretical Hashrate,Hashrate unit,Factory Hashrate,Hashrate unit,HashBoard Status,HashBoard Hashrate,HashBoard Hashrate1,HashBoard Hashrate2,HashBoard Hashrate3,HashBoard Hashrate4,HashBoard Frequency,Chip Status,Temperature,Fan Speed,Work Mode,PowerType,Firmware Version,Pool 1,Pool 1 Status,Sub-account 1,Pool 2,Pool 2 Status,Sub-account 2,Pool 3,Pool 3 Status,Sub-account 1,Uptime (Second),Last Update,Remarks,Original Type
10.17.1.11,50:d4:48:4b:73:20,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3664,W,S127200251904615,"[""S124600251915091"",""S124600251915499"",""S124600251915076""]",1Z251700018,223.1,223.22,228.99,T,220.0,T,"[3,3]","[72.02(1),77.16(2),73.93(3)]",72.02,77.16,73.93,,"[348,370,355]","[459,459]","[66,70,69]","[3873,3903,3870,3903]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x11,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x11,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x11,29424,2025-08-20 09:07:10,,A2
10.17.1.12,50:d4:48:4b:77:ff,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3864,W,S127200251905224,"[""S124600251902656"",""S124600251902686"",""S124600251902652""]",1Z250100548,233.62,232.73,237.62,T,220.0,T,"[3,3]","[79.18(1),79.23(2),75.22(3)]",79.18,79.23,75.22,,"[376,378,360]","[459,459]","[70,70,67]","[4054,4050,4050,4054]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x12,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x12,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x12,29422,2025-08-20 09:07:10,,A2
10.17.1.13,50:d4:48:4b:72:31,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3732,W,S127200251903060,"[""S124600251915433"",""S124600251915337"",""S124600251915385""]",1Z250101603,226.98,226.47,230.88,T,220.0,T,"[3,3]","[77.94(1),74.42(2),74.63(3)]",77.94,74.42,74.63,,"[371,355,357]","[459,459]","[70,69,70]","[3963,3963,3933,3960]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x13,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x13,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x13,29426,2025-08-20 09:07:10,,A2
10.17.1.14,50:d4:48:4b:6b:ec,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3924,W,S127200251900758,"[""S124600251910253"",""S124600251910223"",""S124600251910231""]",1Z251702233,232.87,232.55,238.12,T,220.0,T,"[3,3]","[75.99(1),78.6(2),78.29(3)]",75.99,78.6,78.29,,"[365,376,375]","[459,459]","[61,67,70]","[4890,4894,4890,4894]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x14,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x14,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x14,29419,2025-08-20 09:07:10,,A2
10.17.1.15,50:d4:48:4b:72:36,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,2520,W,S127200251901390,"[""S124600251902419"",""S124600251902479""]",1Z250101766,154.49,154.05,157.42,T,220.0,T,"[2,3]","[77.65(1),76.83(2)]",77.65,76.83,,,"[371,367]","[306,459]","[70,65]","[4350,4354,4350,4354]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x15,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x15,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x15,29478,2025-08-20 09:07:10,,A2
10.17.1.16,50:d4:48:4b:72:23,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3756,W,S127200251903778,"[""S124600251915382"",""S124600251914719"",""S124600251913105""]",1Z244600838,226.73,226.43,231.8,T,220.0,T,"[3,3]","[74.19(1),75.97(2),76.57(3)]",74.19,75.97,76.57,,"[357,363,366]","[459,459]","[69,70,70]","[3903,3903,3870,3870]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x16,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x16,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x16,29428,2025-08-20 09:07:10,,A2
10.17.1.17,50:d4:48:4b:73:0f,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,4000,W,S127200251901797,"[""S124600251903313"",""S124600251904959"",""S124600251903456""]",1Z251701865,237.27,236.8,240.52,T,220.0,T,"[3,3]","[76.89(1),76.84(2),83.57(3)]",76.89,76.84,83.57,,"[366,366,395]","[459,459]","[60,63,70]","[5340,5340,5345,5340]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x17,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x17,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x17,29433,2025-08-20 09:07:10,,A2
10.17.1.18,50:d4:48:4b:77:8d,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3716,W,S127200251904127,"[""S124600251902354"",""S124600251902792"",""S124600251902796""]",1Z250101160,226.73,226.54,230.98,T,220.0,T,"[3,3]","[77.85(1),74.85(2),74.01(3)]",77.85,74.85,74.01,,"[373,356,354]","[459,459]","[69,68,70]","[4114,4114,4114,4110]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x18,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x18,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x18,29438,2025-08-20 09:07:10,,A2
10.17.1.19,50:d4:48:4b:75:01,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3688,W,S127200251902299,"[""S124600251906985"",""S124600251907010"",""S124600251906953""]",1Z251701825,224.62,224.4,228.95,T,220.0,T,"[3,3]","[73.56(1),78.54(2),72.55(3)]",73.56,78.54,72.55,,"[353,373,348]","[459,459]","[70,69,66]","[4054,4054,4054,4050]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x19,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x19,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x19,29440,2025-08-20 09:07:10,,A2
10.17.1.20,50:d4:48:4b:72:30,Online,A2,A2-220T,SealMiner,Gamma,Bitdeer-Seal,3644,W,S127200251904889,"[""S124600251903032"",""S124600251902435"",""S124600251902478""]",1Z250100364,224.39,224.06,228.95,T,220.0,T,"[3,3]","[74.81(1),76.32(2),73.27(3)]",74.81,76.32,73.27,,"[358,364,351]","[459,459]","[70,70,68]","[4050,4054,4020,4024]",Normal(A2*),BTPSU04KSA-02.10,2025063002,stratum+tcp://ap.seal.tns.us.bitdeer.com:3333,Alive,TN+BD+SA2.10x17x1x20,stratum+tcp://us.ss.cloverpool.com:1800,Alive,TNBDSA2.10x17x1x20,stratum+tcp://us.ss.cloverpool.com:3333,Alive,TNBDSA2.10x17x1x20,29439,2025-08-20 09:07:10,,A2
